업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점영업,화인노래주점,부산광역시 부산진구 성지로8번길 46 (연지동),부산광역시 부산진구 연지동 41-1 , 051- 802-5753
유흥주점영업,동화노래주점,"부산광역시 부산진구 새싹로29번길 지하 8, 1층 (부전동)",부산광역시 부산진구 부전동 401-23 , 051- 809-6789
유흥주점영업,부킹노래주점,"부산광역시 부산진구 동평로420번길 13, 지상3층 (양정동)","부산광역시 부산진구 양정동 369-3 ,11 ", 051- 853-1501
유흥주점영업,서울노래방,"부산광역시 부산진구 가야대로784번길 51, 지하1층 (부전동)",부산광역시 부산진구 부전동 517-33 지하1층 , 051-929 -5858
유흥주점영업,더파티,"부산광역시 부산진구 가야대로784번길 52, 지하1층 (부전동)",부산광역시 부산진구 부전동 519-5 지하1층 , 051- 809-4991
유흥주점영업,언니쓰 가라오케,부산광역시 부산진구 서면문화로5번길 28 (부전동),부산광역시 부산진구 부전동 477-25 , 051- 807-1100
유흥주점영업,앵두,"부산광역시 부산진구 새싹로29번길 13 (부전동,(지하1층))",부산광역시 부산진구 부전동 400-8 (지하1층) , 051- 806-2623
유흥주점영업,밀크밀크노래주점,부산광역시 부산진구 새싹로 287 (초읍동),부산광역시 부산진구 초읍동 292-19 , 051- 816-9556
유흥주점영업,발리,"부산광역시 부산진구 가야대로784번길 62, 지하1층 (부전동)",부산광역시 부산진구 부전동 520-2 지하1층 ,051 -806 -3606
유흥주점영업,황금노래주점,"부산광역시 부산진구 서면로 71, 지하1층 (부전동)",부산광역시 부산진구 부전동 490-12 지하1층 ,051 -819 -0098
유흥주점영업,대황제 소주 맥주 주점,"부산광역시 부산진구 거제대로36번길 32, 2층 (양정동)",부산광역시 부산진구 양정동 394-23 (2층) , 051- 866-6303
유흥주점영업,뉴카니발소주호프,"부산광역시 부산진구 서면로 33 (부전동,(3층))",부산광역시 부산진구 부전동 521-21 (3층) , 051- 807-1515
유흥주점영업,당근노래방주점,부산광역시 부산진구 서면문화로5번길 20 (부전동),부산광역시 부산진구 부전동 475-21 , 051- 808-3384
유흥주점영업,신신노래주점,부산광역시 부산진구 중앙대로743번길 24 (부전동),부산광역시 부산진구 부전동 263-11 ,0109-7350-145
유흥주점영업,크로바노래주점,부산광역시 부산진구 중앙대로691번가길 18 (부전동),부산광역시 부산진구 부전동 519-56 , 051- 806-7702
유흥주점영업,로망스,부산광역시 부산진구 동평로406번길 39 (양정동),부산광역시 부산진구 양정동 389-9 , 051- 864-3533
유흥주점영업,썸씽노래타운,부산광역시 부산진구 중앙대로692번길 45-7 (부전동),부산광역시 부산진구 부전동 172-1 , 051- 818-9806
유흥주점영업,아사노래주점,"부산광역시 부산진구 서면로 41, 지하1층 (부전동)",부산광역시 부산진구 부전동 517-62 지하1층 , 051- 806-6228
유흥주점영업,도화G,"부산광역시 부산진구 중앙대로691번가길 24-13, 지하1층 (부전동)",부산광역시 부산진구 부전동 516-6 지하1층 , 
유흥주점영업,식스나인,부산광역시 부산진구 서면로 29-10 (부전동),부산광역시 부산진구 부전동 521-23 , 051- 825-1617
유흥주점영업,피엠,부산광역시 부산진구 중앙대로691번길 48 (부전동),부산광역시 부산진구 부전동 520-35 , 051- 805-9024
유흥주점영업,원투쓰리라이브클럽,"부산광역시 부산진구 서면문화로 44-1, 지하1층 (부전동)",부산광역시 부산진구 부전동 403-1 (지하1층) ,051 -803 -0577
유흥주점영업,제니스노래주점,"부산광역시 부산진구 새싹로 25, 지하1층 (부전동)",부산광역시 부산진구 부전동 399-8 지하1층 , 051- 818-0025
유흥주점영업,대림,부산광역시 부산진구 가야대로703번길 5 (당감동),부산광역시 부산진구 당감동 1008 , 051- 819-5959
유흥주점영업,호림,"부산광역시 부산진구 신천대로204번길 6, 1층 (부암동)",부산광역시 부산진구 부암동 133-42 (1층) , 051- 819-2468
유흥주점영업,뽕,부산광역시 부산진구 신암로 5 (범천동),부산광역시 부산진구 범천동 1298-100 , 051- 633-3224
유흥주점영업,오렌지노래주점,부산광역시 부산진구 서면문화로5번길 25 (부전동),부산광역시 부산진구 부전동 485-2 , 051- 804-4224
유흥주점영업,조은날 실내포장,부산광역시 부산진구 새싹로29번길 9 (부전동),부산광역시 부산진구 부전동 400-7 ,
유흥주점영업,아우라,부산광역시 부산진구 중앙대로691번가길 24-13 (부전동),부산광역시 부산진구 부전동 516-6 , 
유흥주점영업,하모니노래주점,부산광역시 부산진구 범일로192번길 19 (범천동),부산광역시 부산진구 범천동 854-14 ,051 -632 -9085
유흥주점영업,스카이라이브바,"부산광역시 부산진구 서면로 33-11, 지하1층 (부전동)",부산광역시 부산진구 부전동 521-19 지하1층 ,070 -8868-6040
유흥주점영업,호박노래주점,부산광역시 부산진구 새싹로28번길 24 (부전동),부산광역시 부산진구 부전동 264-3 , 
유흥주점영업,어매,부산광역시 부산진구 서전로47번길 59 (전포동),부산광역시 부산진구 전포동 635-13 , 
유흥주점영업,좋은날노래타운,"부산광역시 부산진구 중앙대로691번길 43, 3층 (부전동)",부산광역시 부산진구 부전동 524-7 3층 ,051 -802 -5758
유흥주점영업,탈렌트노래주점,"부산광역시 부산진구 중앙대로691번길 28, 지상3층 (부전동)",부산광역시 부산진구 부전동 517-55 지상3층 , 051- 805-8150
유흥주점영업,필,부산광역시 부산진구 범일로 151 (범천동),부산광역시 부산진구 범천동 886-2 , 051- 642-2453
유흥주점영업,수,부산광역시 부산진구 서전로47번길 59 (전포동),부산광역시 부산진구 전포동 635-13 , 051- 807-5634
유흥주점영업,비타민노래주점,부산광역시 부산진구 서면문화로 11-1 (부전동),부산광역시 부산진구 부전동 475-4 , 
유흥주점영업,쎄시봉라이브,"부산광역시 부산진구 중앙대로691번가길 13, 1층 (부전동)",부산광역시 부산진구 부전동 515-8 ,051 -804 -2970
유흥주점영업,소풍,부산광역시 부산진구 부전로96번길 44 (부전동),부산광역시 부산진구 부전동 475-22 ,051 -809 -6218
유흥주점영업,올인노래주점,"부산광역시 부산진구 중앙대로691번길 45, 지상2층 (부전동)",부산광역시 부산진구 부전동 524-9 지상2층 , 
유흥주점영업,까치,부산광역시 부산진구 서면문화로 29 (부전동),부산광역시 부산진구 부전동 474-78 , 051- 819-0811
유흥주점영업,벤츠노래방,부산광역시 부산진구 동평로406번길 39 (양정동),부산광역시 부산진구 양정동 389-9 , 051- 865-9555
유흥주점영업,한올,부산광역시 부산진구 부전로20번길 19 (부전동),부산광역시 부산진구 부전동 523-1 , 051- 803-5447
유흥주점영업,해비치,부산광역시 부산진구 부전로96번길 16 (부전동),부산광역시 부산진구 부전동 477-3 , 051- 819-6458
유흥주점영업,뉴동화,부산광역시 부산진구 새싹로29번길 8 (부전동),부산광역시 부산진구 부전동 401-23 , 051- 808-3730
유흥주점영업,아하노래주점,부산광역시 부산진구 부전로152번길 34 (부전동),부산광역시 부산진구 부전동 352-1 ,051- 804-3992
유흥주점영업,궁,부산광역시 부산진구 부전로96번길 17 (부전동),부산광역시 부산진구 부전동 474-125 , 
유흥주점영업,콜소주호프노래주점,부산광역시 부산진구 새싹로 127 (부암동),부산광역시 부산진구 부암동 23-16 ,051- 803-6424
유흥주점영업,놀이터,"부산광역시 부산진구 가야대로784번길 58, 지하1층 (부전동)",부산광역시 부산진구 부전동 520-1 지하1층 ,051 -806 -2736
유흥주점영업,소판돈,부산광역시 부산진구 부전로20번길 42 (부전동),부산광역시 부산진구 부전동 521-15 , 
